cik,cik_full,ticker,accn,form,fy,10k_path
1601830,0001601830,RXRX,0001564590-21-010727,10-K,2020,https://www.sec.gov/Archives/edgar/data/1601830/000156459021010727/0001564590-21-010727.txt
1050441,0001050441,EGBN,0001050441-21-000036,10-K,2020,https://www.sec.gov/Archives/edgar/data/1050441/000105044121000036/0001050441-21-000036.txt
1055160,0001055160,MFA,0001055160-21-000004,10-K,2020,https://www.sec.gov/Archives/edgar/data/1055160/000105516021000004/0001055160-21-000004.txt
1104485,0001104485,NOG,0001104485-21-000026,10-K,2020,https://www.sec.gov/Archives/edgar/data/1104485/000110448521000026/0001104485-21-000026.txt
1846510,0001846510,MCG,0001104485-21-000026,10-K,2020,https://www.sec.gov/Archives/edgar/data/1846510/000110448521000026/0001104485-21-000026.txt
1576427,0001576427,CRTO,0001576427-21-000008,10-K,2020,https://www.sec.gov/Archives/edgar/data/1576427/000157642721000008/0001576427-21-000008.txt
1607939,0001607939,UDMY,0001576427-21-000008,10-K,2020,https://www.sec.gov/Archives/edgar/data/1607939/000157642721000008/0001576427-21-000008.txt
918608,0000918608,EGO,0001576427-21-000008,10-K,2020,https://www.sec.gov/Archives/edgar/data/918608/000157642721000008/0001576427-21-000008.txt
1025835,0001025835,EFSC,0001025835-21-000018,10-K,2020,https://www.sec.gov/Archives/edgar/data/1025835/000102583521000018/0001025835-21-000018.txt
1709682,0001709682,CTOS,0001709682-21-000009,10-K,2020,https://www.sec.gov/Archives/edgar/data/1709682/000170968221000009/0001709682-21-000009.txt
1413159,0001413159,TGH,0001709682-21-000009,10-K,2020,https://www.sec.gov/Archives/edgar/data/1413159/000170968221000009/0001709682-21-000009.txt
1653242,0001653242,NTB,0001709682-21-000009,10-K,2020,https://www.sec.gov/Archives/edgar/data/1653242/000170968221000009/0001709682-21-000009.txt
1590717,0001590717,CTRE,0001628280-22-002842,10-K,2021,https://www.sec.gov/Archives/edgar/data/1590717/000162828022002842/0001628280-22-002842.txt
1794905,0001794905,CYXT,0001104659-21-036308,10-K,2020,https://www.sec.gov/Archives/edgar/data/1794905/000110465921036308/0001104659-21-036308.txt
789460,0000789460,INT,0001628280-21-003481,10-K,2020,https://www.sec.gov/Archives/edgar/data/789460/000162828021003481/0001628280-21-003481.txt
1481513,0001481513,JKS,0001628280-21-003481,10-K,2020,https://www.sec.gov/Archives/edgar/data/1481513/000162828021003481/0001628280-21-003481.txt
1528930,0001528930,FRG,0001528930-21-000013,10-K,2020,https://www.sec.gov/Archives/edgar/data/1528930/000152893021000013/0001528930-21-000013.txt
1527508,0001527508,PTVE,0001564590-21-008652,10-K,2020,https://www.sec.gov/Archives/edgar/data/1527508/000156459021008652/0001564590-21-008652.txt
703351,0000703351,EAT,0000703351-21-000031,10-K,2021,https://www.sec.gov/Archives/edgar/data/703351/000070335121000031/0000703351-21-000031.txt
1819394,0001819394,MTTR,0001564590-21-012893,10-K,2020,https://www.sec.gov/Archives/edgar/data/1819394/000156459021012893/0001564590-21-012893.txt
1552797,0001552797,DKL,0001552797-21-000015,10-K,2020,https://www.sec.gov/Archives/edgar/data/1552797/000155279721000015/0001552797-21-000015.txt
1671284,0001671284,BHG,0001552797-21-000015,10-K,2020,https://www.sec.gov/Archives/edgar/data/1671284/000155279721000015/0001552797-21-000015.txt
866706,0000866706,ESE,0001410578-21-000447,10-K,2021,https://www.sec.gov/Archives/edgar/data/866706/000141057821000447/0001410578-21-000447.txt
1823766,0001823766,LFG,0001213900-21-018704,10-K,2020,https://www.sec.gov/Archives/edgar/data/1823766/000121390021018704/0001213900-21-018704.txt
1795589,0001795589,KC,0001213900-21-018704,10-K,2020,https://www.sec.gov/Archives/edgar/data/1795589/000121390021018704/0001213900-21-018704.txt
1822492,0001822492,HLMN,0001104659-21-035584,10-K,2020,https://www.sec.gov/Archives/edgar/data/1822492/000110465921035584/0001104659-21-035584.txt
925261,0000925261,AKO-A,0001104659-21-035584,10-K,2020,https://www.sec.gov/Archives/edgar/data/925261/000110465921035584/0001104659-21-035584.txt
1578732,0001578732,MMI,0001193125-21-062693,10-K,2020,https://www.sec.gov/Archives/edgar/data/1578732/000119312521062693/0001193125-21-062693.txt
1124524,0001124524,CYRX,0001104659-21-030112,10-K,2020,https://www.sec.gov/Archives/edgar/data/1124524/000110465921030112/0001104659-21-030112.txt
