ticker,beta,trailingPE,priceToSalesTrailing12Months,priceToBook,trailingPegRatio,debtToEquity,returnOnEquity
TRMB,1.535225,30.974056,4.7942896,4.400259,,37.364,0.15434
CRL,1.171312,36.802227,4.185359,5.9088354,,128.648,0.18369
WDC,1.594728,10.882845,0.8558486,1.4239961,,63.996,0.18245001
DISH,2.106493,7.448906,0.91054106,1.0953964,,111.333,0.18503
WAB,,38.625988,2.2224104,1.7113588,,39.613,0.055409998
XYL,1.03041,34.884266,3.0571015,5.183328,,81.399,0.15459
DPZ,0.52987,30.563189,3.3498323,,,,
LKQ,1.616623,13.675786,1.0653965,2.3268137,,63.571,0.18214001
J,0.815064,39.996872,1.174229,2.7737877,,57.823,0.067389995
L,0.938701,10.004877,1.0641207,0.87651336,,47.637,0.09372
CF,1.032819,63.11594,2.8572612,6.350248,,61.564,0.21651
BEN,1.198408,8.182073,1.6936394,1.3060002,,29.477,0.17803
UAL,1.476363,,0.6584108,2.406988,,760.32,-0.51713
FDS,0.753766,39.093067,9.55747,14.149451,,77.981,0.39584
TXT,1.754848,21.279411,1.2879783,2.6489217,,60.866,0.11801
SJM,0.320519,19.038242,1.8289658,1.7447592,,57.539,0.09147
TFX,1.102337,37.583115,5.835359,4.4010453,,59.451,0.12597999
FMC,0.864415,26.406218,3.1967282,5.0447397,,116.519,0.20516
DISCA,1.310694,19.183947,1.1995958,1.6190584,,110.404,0.11196
INCY,0.71948,28.797678,5.2672486,4.8726764,,1.86,0.19301
IEX,1.057662,34.566452,5.5505233,5.433319,,47.854,0.16851
KIM,1.507532,11.827637,12.171855,1.4847053,,75.131,0.1233
HWM,1.576827,52.723145,2.9944782,4.2324505,,123.888,0.07283
AES,0.861263,27.654636,1.3089087,5.8665934,,343.595,0.15587
EVRG,0.465937,16.269552,2.5794132,1.5358303,,122.226,0.09932
QRVO,1.378701,13.644366,3.2034764,3.0782712,,36.933,0.24184
BBWI,1.758329,9.082041,1.0348616,,,,
PWR,1.156883,29.501183,1.3378562,3.3756912,,68.946,0.12689
ATO,0.497212,22.214844,4.429614,1.9048417,,95.652,0.09056
MAS,1.335064,30.592756,1.65657,,,2472.222,2.33833
IPG,1.010909,20.2428,1.5962318,4.449547,,159.659,0.23256001
RHI,1.544348,25.243692,2.192763,9.8228245,,20.412,0.41839
CPB,0.497662,14.594681,1.6416824,4.2522407,,163.021,0.31947002
NWSA,1.361511,26.228916,1.287271,1.5715008,,35.359,0.06623
ABMD,1.270649,95.54191,14.541293,10.225421,,0.567,0.116210006
PTC,1.275844,27.047146,7.109528,6.2647276,,80.858,0.27435
HAS,1.023376,28.733984,2.119633,4.3032713,,141.197,0.15453
NDSN,0.977125,29.568476,5.4459457,6.164081,,36.389,0.24396999
IRM,0.831168,23.545744,3.4107003,15.382099,,1114.843,0.62629
LDOS,0.853506,19.387453,1.0925192,3.575001,,138.862,0.19794
WRK,1.124813,14.162939,0.6043847,1.0066078,,76.277,0.07698
WHR,1.752362,6.6801696,0.57864124,2.5735772,,123.818,0.36827
FFIV,1.052467,37.758427,4.7421093,5.1814256,,30.306,0.14425
XRAY,0.908051,28.023134,2.7448182,2.2747643,,43.317,0.08455
CHRW,0.76077,18.166843,0.6303986,6.8549085,,104.486,0.39848998
DVA,1.237709,13.11573,0.98827624,10.077164,,437.564,0.41874
RE,0.698428,11.428627,0.9890069,1.1409324,,19.15,0.10342
